BalanceWeight,RetentionWeight,RiskyRevolverPenalty,SafeLowRevolvePenalty,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.15,0.15,0.15,0.0,0.7962501160479197,0.9075467911226831,0.8336241308394486,0.8623225495004542,0.7227886932465419,0.5258271121163166,0.6858848257630377,0.89856,0.8177,0.77861
0.15,0.15,0.1,0.0,0.7922382360229148,0.9088324439898333,0.8378850528011456,0.8620782929155314,0.7175250553295363,0.5438230875605816,0.6793600403749098,0.90804,0.81947,0.78107
0.15,0.15,0.05,0.0,0.7894256730144679,0.9096505353170914,0.8413921331662788,0.8614050831062671,0.7114806159479251,0.5596096936995153,0.6720030479852599,0.91538,0.82046,0.78255
0.15,0.15,0.15,0.05,0.7891904178706378,0.9084500563139297,0.8382895648827635,0.8601131689373297,0.7111302384052075,0.5508029001615509,0.6844765010013618,0.90938,0.81831,0.78178
0.15,0.15,0.0,0.0,0.7878043636951637,0.910030593614779,0.8442204020046538,0.8603079972752044,0.704608065093572,0.5733394604200323,0.6638318457101657,0.91959,0.82002,0.78275
0.15,0.15,0.1,0.05,0.7860211074610444,0.9093726858099312,0.8420078104528369,0.8595232320617621,0.7051229202603743,0.5673276038772214,0.6774162236641833,0.91662,0.81918,0.78294
0.15,0.15,0.05,0.05,0.7841152978005084,0.909854140598847,0.8450442847682119,0.8585061607629427,0.6982895931651749,0.5816935017770598,0.6695060607225827,0.92061,0.81901,0.78352
0.15,0.1,0.15,0.0,0.7840858254577154,0.9090900374186349,0.8358723071415787,0.8582403260672116,0.7172996118795769,0.5470262378029079,0.6914258655771849,0.91046,0.82233,0.78568
0.15,0.15,0.15,0.1,0.7835706588793715,0.9089245648750852,0.8423451299445142,0.8574274909173478,0.6980499218877136,0.5740592665589661,0.682026134422815,0.91738,0.81736,0.78314
0.15,0.15,0.0,0.05,0.7835310137809837,0.9099145872171596,0.8474487361732593,0.857103166212534,0.690593965012205,0.5939542171243941,0.6607444550188256,0.91916,0.81563,0.78173
0.15,0.15,0.1,0.1,0.7813620637478832,0.9095086893558985,0.8455932316090925,0.8564996253405995,0.6912385549227014,0.5891097802907916,0.6743967278699031,0.91991,0.81677,0.78353
0.15,0.15,0.0,0.1,0.7810951264483625,0.909415842737586,0.8501948034723465,0.8534824123524068,0.6749315443449959,0.612738453634895,0.656554267403669,0.90985,0.80749,0.77967
0.15,0.15,0.05,0.1,0.780570377801419,0.9096718334387205,0.8482241496330768,0.855175306085377,0.6835439340927584,0.6019545919224556,0.6658789835776656,,,
0.15,0.1,0.1,0.0,0.7802176998647248,0.9101541399293286,0.8398636819402183,0.857802886920981,0.7114213059397884,0.564918931825525,0.6844473870063287,,,
0.15,0.15,0.0,0.15,0.7802130432723292,0.9085336940797224,0.8525072724181135,0.849047631698456,0.6576890056956876,0.6297094403877221,0.6512958151085476,,,
0.15,0.15,0.15,0.15,0.7797142834693944,0.9089969221994917,0.8458863100053696,0.8543032366030882,0.6834357599674532,0.5954079612277867,0.6784685234318673,,,
0.15,0.15,0.05,0.15,0.77902490657412,0.9091108976752836,0.850954205834974,0.8514419373297003,0.6670788283157039,0.620278788368336,0.6611116989505729,,,
0.15,0.15,0.1,0.15,0.7786540183864441,0.9092612939309405,0.8487270560229103,0.8530629509536785,0.6757355638730675,0.6089120924071083,0.6702208589281422,,,
0.1,0.15,0.15,0.0,0.7781646053509615,0.9087949088587192,0.8280138215500268,0.8620221984559491,0.7284884727420667,0.5407327450726979,0.6935827235440198,,,
0.15,0.1,0.05,0.0,0.7778246053915268,0.9107437773727605,0.8430910220153929,0.8568934173478655,0.7046315101708707,0.5803206390953151,0.6765369156452775,,,
0.15,0.1,0.15,0.05,0.7772027061091085,0.9096897906639391,0.8401827864685879,0.8556528914623069,0.7044260179007323,0.5721898487883683,0.6893564239365537,,,
0.15,0.1,0.0,0.0,0.776791366628629,0.9108837737028083,0.84562168534097,0.8555536080835604,0.6969606948738812,0.5934686048465266,0.6677396191620604,,,
0.1,0.15,0.1,0.0,0.7748923600584129,0.9102498827351062,0.8326809808483981,0.8619747633969118,0.7231695296989422,0.5584826888529887,0.6869052726107506,,,
0.15,0.1,0.1,0.05,0.7744328959684922,0.9103894931994296,0.8436405750850189,0.8548360967302453,0.6977026834825061,0.588350411631664,0.6817655049267003,,,
0.15,0.1,0.0,0.05,0.7732807560273265,0.9104444091252867,0.8484686633255772,0.8518988251589463,0.6814450585842149,0.6136593499192246,0.6638567756148361,,,
0.15,0.1,0.05,0.05,0.7731599987999076,0.910638206286033,0.8464177596205478,0.8535870358764759,0.690049493083808,0.6021388032310178,0.6732300056076264,,,
0.1,0.15,0.05,0.0,0.7728850734392906,0.9112102234951335,0.8365030433148379,0.8614571371480472,0.7169989454841335,0.5738808012924071,0.6793405250340463,,,
0.15,0.1,0.15,0.1,0.7722763306263272,0.9098598522100303,0.8439116282441381,0.8525619504995459,0.6899237103336046,0.5951510235864298,0.6860967690459024,,,
0.1,0.15,0.0,0.0,0.7721002355489925,0.9117087325770257,0.8395532079828173,0.8604852579473207,0.7099604027664768,0.5871109789983845,0.6709051542097253,,,
0.1,0.15,0.15,0.05,0.771808174038354,0.9099041991445043,0.8331630875246107,0.8600686139872843,0.7167686143205858,0.5656566384491115,0.6920842412881518,,,
0.15,0.1,0.0,0.15,0.7717620746961449,0.9083506252309218,0.8528903688920708,0.8420960699364215,0.6453211366965013,0.6477013634894991,0.6527025072498598,,,
0.15,0.1,0.0,0.1,0.771501362126269,0.9096026700886491,0.8508613237873636,0.8473398101725703,0.6643122571196094,0.6317201124394184,0.6588527890731394,,,
0.15,0.1,0.1,0.1,0.7707060757804225,0.9102170066579878,0.8469140519062109,0.8514033038147139,0.6822919039869813,0.6096301137318255,0.6778581068653369,,,
0.15,0.05,0.15,0.0,0.7707060650444657,0.9103906639142024,0.8378014845176303,0.8536423514986377,0.7109737363710334,0.5697641273021001,0.6970169898261637,,,
0.15,0.1,0.05,0.1,0.7706438182811438,0.9101342955551422,0.8492399371755862,0.8497877970027248,0.6736832164361269,0.6217500865912763,0.6687192477769767,,,
0.15,0.1,0.05,0.15,0.7700095913576351,0.9092276826979108,0.8515970483264722,0.8451347851952771,0.6554980292921074,0.6392562694668821,0.6630779099575422,,,
0.15,0.1,0.15,0.15,0.7696370821265498,0.9096235605232161,0.8471593497404689,0.8490324268846503,0.6735480772986168,0.6158682714054927,0.6815766612192581,,,
0.1,0.15,0.1,0.05,0.7694152120364285,0.9109749456822268,0.8372149040630035,0.8596412833787466,0.7106398014646054,0.5818503256865912,0.684835466794841,,,
0.15,0.1,0.1,0.15,0.76930830978639,0.9096496345669829,0.8497369257204225,0.8474833841961853,0.6649319495524817,0.6286712439418417,0.6727103308499559,,,
0.1,0.15,0.0,0.05,0.7686090702417543,0.9117411779802864,0.8430496633255772,0.8574351762034513,0.6957182701383238,0.6074381176090469,0.6676342948009292,,,
0.1,0.15,0.05,0.05,0.7683478472166099,0.9115810884880045,0.8404935632718811,0.8587554754768393,0.7036392530512612,0.5957369873990307,0.6766797595129376,,,
0.15,0.05,0.1,0.0,0.7672806631374032,0.911218222081706,0.8415071460533381,0.8529714609445959,0.7043324873881205,0.587237397092084,0.6895003576063446,,,
0.1,0.15,0.0,0.15,0.7670067200338628,0.9106085314735602,0.8484773329156972,0.849362908719346,0.661884916192026,0.6424348827140549,0.6577374555795883,,,
0.1,0.15,0.15,0.1,0.7670029329805023,0.9105629504680428,0.8376105523536781,0.8575959346049046,0.7035227607811229,0.5886891308562198,0.6894981211247296,,,
