AllThreeWeight,BestLTVWeight,BestOnlyWeight,LTVOnlyPenalty,ProfitOnlyPenalty,BaseWeight,Objective,ALL_THREE,BEST_ONLY,BEST_LTV,LTV_ONLY,PROFIT_ONLY,LTV_PROFIT,Overlap_BEST087,Overlap_LTV079,Overlap_Profit077
0.2,0.3,0.15,0.2,0.2,0.3,1.0596924368896259,0.8271156576529664,0.8335174247359942,0.921371012715713,0.6749821147274206,0.2431358546042003,0.37728784891452377,0.6833,0.60605,0.56233
0.2,0.2,0.15,0.2,0.2,0.3,1.0565433814693561,0.8580918686256276,0.8375566631465903,0.9099113678474114,0.6689613002441009,0.28044947075928917,0.40674439894256187,0.7399,0.65946,0.61683
0.2,0.3,0.15,0.2,0.15,0.3,1.055695551600413,0.8191677855309653,0.8415372095936996,0.9254962152588555,0.667857048820179,0.2577484200323102,0.3664589587438917,0.68142,0.60044,0.55711
0.2,0.3,0.1,0.2,0.2,0.3,1.0527521348606292,0.8440250683776579,0.8310507268659387,0.9160357316076295,0.679717181448332,0.25777804588045233,0.40069230713770726,0.70902,0.63327,0.58954
0.2,0.2,0.15,0.2,0.15,0.3,1.052451463875308,0.8528100169859276,0.8448048800787542,0.9127340390554042,0.6599413498779495,0.30114851373182555,0.39055404822558676,0.73432,0.64946,0.60732
0.2,0.3,0.1,0.2,0.15,0.3,1.0496883402394723,0.8382057770999939,0.8384371847145159,0.9194553946412353,0.672469965012205,0.2742799172859451,0.3867373935752623,0.70552,0.62549,0.58211
0.2,0.2,0.15,0.15,0.2,0.3,1.0484041694007689,0.8440893137933172,0.8326665534275998,0.914887580835604,0.6850133970707893,0.2569410675282714,0.4063313775534727,0.71203,0.63538,0.59155
0.2,0.3,0.15,0.2,0.1,0.3,1.0465977110212608,0.8085066454156593,0.8500597345623769,0.9285292175295187,0.6601625947925143,0.27493995024232637,0.35793820267563886,0.6785,0.59356,0.55082
0.2,0.3,0.15,0.2,0.2,0.4,1.0459947732588106,0.8514055346103775,0.8374468494719884,0.9136270485921889,0.6770134109031734,0.2814022533117932,0.4056778011695906,0.72696,0.64766,0.60434
0.2,0.2,0.15,0.15,0.15,0.3,1.0448747760609307,0.8376053569896473,0.8408740927152317,0.9181895994550409,0.6776391554109032,0.27366704878836834,0.3926681760794681,0.70837,0.62749,0.58401
0.2,0.2,0.15,0.2,0.1,0.3,1.0436411881185752,0.8447866373814394,0.8528604539108645,0.915124381017257,0.6494818559804719,0.32517623069466883,0.37755857662420894,0.73287,0.64325,0.60197
0.2,0.3,0.15,0.15,0.2,0.3,1.0429133708058917,0.8107263544231604,0.8298725722212279,0.926083846503179,0.6897936484947111,0.2292282197092084,0.3803370795481855,0.65957,0.58565,0.54119
0.3,0.2,0.15,0.2,0.2,0.3,1.0427232040334744,0.8435493369288947,0.837211791480222,0.915846465485922,0.6807672546786004,0.2738382281098546,0.40286427990066487,,,
0.2,0.3,0.1,0.2,0.1,0.3,1.0426188523361613,0.8297567470088649,0.8465169821013065,0.9233173623978201,0.6640793311635476,0.29378772859450725,0.3755194453256429,,,
0.2,0.3,0.15,0.2,0.15,0.4,1.0420377635946787,0.8463872474862068,0.8439053461607303,0.9160494109900091,0.6702103474369406,0.29761690533117935,0.3938109065128575,,,
0.3,0.3,0.15,0.2,0.2,0.3,1.0402403735328993,0.8128273243816254,0.8351377089672454,0.9269874332425068,0.6857529316517493,0.24442522326332797,0.3808942273491949,,,
0.2,0.3,0.1,0.15,0.2,0.3,1.0397913714638185,0.8289699550926787,0.8264850646142832,0.9204023151680291,0.6943601196094386,0.24040506817447496,0.40130749435231916,,,
0.2,0.3,0.15,0.15,0.2,0.4,1.038778869913507,0.8392264950963982,0.8338616212636478,0.917729555404178,0.6899225931651749,0.26230824555735055,0.40581832780581595,,,
0.2,0.3,0.05,0.2,0.2,0.3,1.0385376595891784,0.8590510538962246,0.8289401947377841,0.910144638510445,0.6851010561432058,0.2768815315024233,0.4307298537210606,,,
0.2,0.3,0.15,0.15,0.15,0.3,1.0380164240414764,0.801379664893683,0.83865706246644,0.9301941648501362,0.6843249544344996,0.24153537576736675,0.37082415941680685,,,
0.3,0.3,0.1,0.2,0.2,0.3,1.0370788397731743,0.8300017996652409,0.8319052999821014,0.9215713950953679,0.6899531448331977,0.25590712051696285,0.398865044780902,,,
0.2,0.3,0.1,0.15,0.15,0.3,1.037058195412291,0.8218437975079042,0.8347136003221766,0.9248129536784742,0.6886280349877949,0.2538080749596123,0.3892995900024033,,,
0.3,0.2,0.15,0.2,0.15,0.3,1.0368556303246481,0.8363961203893124,0.8444990835868982,0.9188436425976385,0.6733016468673718,0.29104667851373184,0.39220955859969564,,,
0.2,0.3,0.05,0.2,0.15,0.3,1.036779695060104,0.8552510292976258,0.835989430642563,0.9135512534059945,0.6778064646053702,0.29551084652665593,0.4130987352399263,,,
0.2,0.2,0.15,0.15,0.1,0.3,1.0366134740900939,0.8281676340462464,0.8499019355647038,0.921428937783833,0.6691704271765663,0.2935783295638126,0.38175344276215656,,,
0.2,0.2,0.1,0.2,0.2,0.3,1.0359601892322123,0.8721283615646892,0.8352422470019689,0.9036218283378747,0.6749594450772987,0.3042417357027464,0.4420862651606184,,,
0.2,0.3,0.15,0.15,0.15,0.4,1.0352362569008378,0.83331238926291,0.840981514945409,0.92074051044505,0.6842929218877136,0.2758996129240711,0.39550568693423055,,,
0.2,0.3,0.15,0.2,0.1,0.4,1.0351167614609371,0.8394324858471267,0.8510209029890818,0.9185825118074478,0.6625345581773799,0.3160168730210016,0.38395872450532725,,,
0.3,0.3,0.15,0.2,0.2,0.4,1.0347673301188123,0.8389937274812473,0.8377593048147485,0.9184597965485922,0.6860512725793328,0.2758316510500808,0.40345552463350154,,,
0.2,0.2,0.15,0.1,0.2,0.3,1.0346430318353304,0.8281905679251133,0.8284110272060139,0.9196770263396912,0.6999284703010578,0.23988934474959614,0.4067471798445887,,,
0.2,0.2,0.1,0.15,0.2,0.3,1.0341919974185023,0.859977869270349,0.8302269584750314,0.9086942647593097,0.6907783775427176,0.2761527134087237,0.43705658511575746,,,
