Threshold,Weight,Pearson,Spearman,Top20,Spend,Revolve,Risk,Profit,LTV,Decision
0.3,0.03,0.9997149995304662,0.9997260130870171,0.99397,0.10674525943878252,-1.7720987881060533,-4.711610864762714,-0.34458990033041387,-0.3229595553231616,REVIEW
0.4,0.03,0.9997298939888314,0.9997885305119052,0.9998,0.13097895078125016,-1.8115206959119061,-4.729275347823768,-0.3411173946774212,-0.32014602807357456,REVIEW
0.5,0.03,0.9997398014740302,0.9998409160439016,0.99999,0.11746977433112213,-1.8408690776133436,-4.6674551371821025,-0.32801751855705685,-0.3020874703802482,REVIEW
0.6,0.03,0.999742126396061,0.9998853427240391,1.0,0.08998141821306364,-1.8522737483189007,-4.575360082742062,-0.310162056514893,-0.2843073997756044,REVIEW
0.7,0.03,0.9997327409821175,0.99992385781125,1.0,0.054113779312164954,-1.73352609300904,-4.155955244434462,-0.24597101627307782,-0.22210772733679957,REVIEW
