RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-1.509,0.0,27.781,483,491,122,-134
"1,001-10,000",9000,-5.642888888888889,-7.0,123.33044444444444,4308,4664,817,-838
"10,001-50,000",40000,-28.107225,-18.0,795.606725,19653,20325,3341,-3529
"50,001-80,000",30000,-72.7194,228.0,1658.8819333333333,16456,13536,5549,-4277
"80,001-120,000",40000,-43.32605,366.0,2342.7313,22106,17889,6844,-6037
"120,001-200,000",80000,-87.5108625,378.5,3359.3172375,42798,37195,10641,-8077
"200,001-500,000",300000,40.30692333333333,-12.0,2516.68635,113207,183108,36358,-7924
