RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-4.402,0.0,47.374,486,497,210,-227
"1,001-10,000",9000,-18.41477777777778,-16.0,216.17455555555554,4258,4728,1344,-1635
"10,001-50,000",40000,-110.434825,23.0,1599.266225,20234,19756,5967,-5593
"50,001-80,000",30000,-184.8466,535.5,3091.5534666666667,16687,13308,9104,-6530
"80,001-120,000",40000,-122.1934,637.0,4206.51995,21808,18190,11519,-8574
"120,001-200,000",80000,-138.0307125,468.0,5632.9911375,41814,38182,17208,-9347
"200,001-500,000",300000,86.87706333333334,-3.0,1986.6019433333333,62450,169028,24942,-8643
