RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-1.767,0.0,30.331,490,492,136,-147
"1,001-10,000",9000,-8.74,-10.0,140.32644444444443,4253,4730,987,-1154
"10,001-50,000",40000,-49.99475,70.0,1150.03695,20911,19081,4149,-3495
"50,001-80,000",30000,-60.159533333333336,382.0,2044.4942666666666,16598,13397,6204,-3575
"80,001-120,000",40000,-45.304075,295.5,2670.894825,21138,18857,7487,-4481
"120,001-200,000",80000,-23.2717125,-145.0,3386.2641625,39250,40745,10983,-4782
"200,001-500,000",300000,25.196343333333335,0.0,634.0657566666666,36957,122629,13513,-3742
