RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-2.855,0.0,38.151,488,496,167,-187
"1,001-10,000",9000,-12.10511111111111,-12.0,173.236,4265,4715,1131,-1304
"10,001-50,000",40000,-71.695,28.0,1289.41655,20335,19654,4886,-4564
"50,001-80,000",30000,-117.5029,447.5,2493.3197666666665,16737,13262,7471,-5122
"80,001-120,000",40000,-79.992725,512.0,3373.398625,21803,18196,9357,-6862
"120,001-200,000",80000,-95.7068875,377.0,4562.6826875,41802,38192,14016,-7562
"200,001-500,000",300000,57.86982666666667,-2.0,1618.9075133333333,62288,167898,20399,-7074
