RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-145.054,-45.0,310.784,426,570,658,-2430
"1,001-10,000",9000,-316.70177777777775,-11.5,1156.6622222222222,4460,4539,2879,-17569
"10,001-50,000",40000,-1089.7208,32.0,5688.0694,20076,19921,17381,-61333
"50,001-80,000",30000,-1604.0037,313.5,9879.539366666666,15298,14702,24001,-105961
"80,001-120,000",40000,-2866.531575,608.5,14210.520275,20523,19477,34737,-165013
"120,001-200,000",80000,-6465.5439875,758.0,25167.3906625,40800,39199,59323,-293082
"200,001-500,000",300000,2422.0303166666667,10908.0,56134.15063,171964,128035,138382,-281830
