Feature,DatasetMean,AMEX_R1_BEST_087_Mean,AMEX_R1_BEST_087_Lift,AMEX_R1_LTV_Model_079_Mean,AMEX_R1_LTV_Model_079_Lift,AMEX_R1_NetProfit_Model_077_Mean,AMEX_R1_NetProfit_Model_077_Lift,Consensus,Direction
f1,2467.312088212774,7450.546632418676,201.9701750748348,6566.715079999676,166.14853918850417,7142.638201808536,189.49066621654612,185.86979349329502,Higher
f7,30821.54679987343,76149.8951873699,147.06707837155858,73241.05912961699,137.62940778143476,73805.96192531547,139.46222558051028,141.3862372445012,Higher
f9,1651.7365598078075,3803.3964984796817,130.2665322684531,3708.2483974977795,124.50604338074729,3703.419079716154,124.21366517110188,126.32874694010076,Higher
f8,1522.9929292984164,3482.521136709106,128.6629878389106,3335.8096648804876,119.0298852153677,3321.4983795092685,118.09020354673305,121.9276922003371,Higher
f10,4536.375278620356,9938.581305524238,119.08640037706164,9452.754456598284,108.37681796628482,9400.936124932174,107.23453302547917,111.56591712294187,Higher
f6,10032.0501147293,21056.36504075974,109.8909475127549,20627.790892540852,105.61889799827284,20475.83468262833,104.10419055388502,106.53801202163758,Higher
f4,126607.1311087234,218947.05964517777,72.93422394758933,270313.36412684113,113.50563886856462,274098.5136077474,116.49531997717119,100.9783942644417,Higher
f21,62730.261249907315,97769.44825557532,55.856912290030955,87571.17260464263,39.59956623769365,86447.5523925301,37.808372976699225,44.421617168141275,Higher
f14,43.06260810986995,56.98110079357932,32.32152741003919,57.223855464086846,32.88525237042282,51.305186735349,19.140918275198125,28.115899351886707,Higher
f13,0.4810254912767025,0.6162298477888859,28.107524229814494,0.6115751311941674,27.139858964848123,0.5463455249483378,13.579328924599738,22.94223737308745,Higher
f5,3464.8133117731804,4123.507094702195,19.010945862243762,4252.479525327018,22.733294485951248,4253.677175270838,22.76786056025462,21.504033636149874,Higher
f17,24164.757131304574,27654.649386976183,14.44207461597278,29060.94238787113,20.261677905397715,28339.329997931534,17.275459645398016,17.326404055589503,Higher
f18,21976.069884968198,25257.331483408485,14.931066453718806,26153.270333183755,19.007950329975948,25588.634953464323,16.438631144721413,16.792549309472054,Higher
f16,53.40667925343991,62.26393172790067,16.5845407321225,62.31119137657227,16.67303087854656,61.142172996222904,14.484131668390058,15.913901093019705,Higher
f15,3.9928416316391244,4.7666296396369345,19.37938138758982,4.686405880703441,17.370191784430926,4.364745300242762,9.314260441904016,15.354611204641587,Higher
f22,4.575804374534348,5.000529399308252,9.281975146000972,5.16227992698581,12.816884299411152,5.061727956836576,10.619413386781355,10.906090944064493,Higher
f23,1.3099041533546325,1.3685707651224892,4.478694995936378,1.3815730837789661,5.471311029955228,1.3817872340425532,5.487659574468093,5.145888533453233,Higher
f20,1.1927709397298254,1.1676668266922707,-2.1046885199299874,1.1914991499149914,-0.10662481558463141,1.1838202202242247,-0.750413948517902,-0.9872424280108403,Lower
f19,1.8009552420306494,1.7141985679427176,-4.817258755976085,1.7676076760767607,-1.851659895572304,1.7420448408968179,-3.2710641419054736,-3.3133275978179544,Lower
f12,30.89356730070843,29.6403986724703,-4.056406358126832,29.564013118041483,-4.303660272462151,28.29541658350054,-8.41000552612877,-5.590024052239251,Lower
f11,0.03390249180506141,0.014018526418253085,-58.65045407618028,0.009177198509585528,-72.93060768997684,0.012059551774356716,-64.42871561270813,-65.33659245962174,Lower
f3,0.108608,0.0345,-68.23438420742485,0.01349,-87.57918385385976,0.05475,-49.589348850913375,-68.46763897073266,Lower
f2,0.173948,0.021,-87.92742658725597,0.02619,-84.94377630096352,0.03055,-82.43728010669855,-85.10282766497268,Lower
