RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-30.986,6.0,141.032,533,455,208,-1279
"1,001-10,000",9000,-37.73166666666667,182.0,392.66255555555557,5819,3175,1130,-12428
"10,001-50,000",40000,-281.798975,-228.0,2516.491275,18347,21649,6129,-89044
"50,001-80,000",30000,-1198.4132333333334,-408.5,5144.047233333334,13786,16211,8829,-306304
"80,001-120,000",40000,-2597.8434,746.0,9105.01865,23264,16731,15143,-371581
"120,001-200,000",80000,-4571.779075,2672.0,15768.40835,54040,25955,21584,-351247
"200,001-500,000",300000,1724.1699633333333,16280.0,31508.187423333333,218894,81102,75726,-294405
