RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-1.605,0.0,28.783,487,489,129,-137
"1,001-10,000",9000,-6.914555555555555,-9.0,130.19055555555556,4273,4702,892,-1007
"10,001-50,000",40000,-41.179075,28.0,975.024725,20431,19552,3777,-3553
"50,001-80,000",30000,-64.15306666666666,351.0,1887.2942666666668,16791,13206,5895,-3809
"80,001-120,000",40000,-46.548825,386.0,2535.948025,21789,18206,7190,-5083
"120,001-200,000",80000,-58.4455625,285.0,3464.3519125,41777,38216,10706,-5734
"200,001-500,000",300000,33.91063,-2.0,1237.22591,62153,164237,15781,-5405
