Metric,Baseline,Experiment,Difference,PercentDifference
f1,7450.546632418676,7318.515585838309,-132.03104658036773,-1.7720987881060533
f5,4123.507094702195,4127.908743048411,4.4016483462164615,0.10674525943878252
f11,0.014018526418253085,0.013358028004451041,-0.0006604984138020437,-4.711610864762714
interest_revenue,1658.5385647684582,1628.7606249970486,-29.777939771409592,-1.795432461081589
interchange_revenue,2288.710222181671,2298.0412186169215,9.330996435250654,0.4076967169026778
rewards_breakage,12.372557569835877,12.356980288908359,-0.015577280927518089,-0.12590186660755803
NetProfit,3564.177087263316,3551.895292990716,-12.28179427260011,-0.34458990033041387
LTV_Profitability,19612.61261417169,19549.271807685705,-63.340806485983194,-0.3229595553231616
