Metric,Baseline,Experiment,Difference,PercentDifference
f1,7450.546632418676,7048.921685285428,-401.6249471332485,-5.390543364774145
f5,4123.507094702195,4100.515712879601,-22.99138182259412,-0.5575686253124924
f11,0.014018526418253085,0.011022474927058162,-0.002996051491194923,-21.37208577995657
interest_revenue,1658.5385647684582,1568.5129091072602,-90.02565566119802,-5.428010995557774
interchange_revenue,2288.710222181671,2306.4402319982482,17.73000981657742,0.7746725489641331
rewards_breakage,1237.2557569835878,1192.8300514396026,-44.42570554398526,-3.5906646861999256
NetProfit,4817.500815957034,4755.923724645133,-61.57709131190131,-1.2781957629968463
LTV_Profitability,26150.620495861785,25860.694435883066,-289.9260599787194,-1.1086775551830552
