RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-129.066,-26.5,262.002,426,568,688,-1545
"1,001-10,000",9000,-309.94966666666664,-120.0,1111.2203333333334,4143,4855,3633,-8514
"10,001-50,000",40000,-1861.547225,-450.5,6422.434025,18929,21069,22884,-65956
"50,001-80,000",30000,-7062.653766666666,454.5,16843.15003333333,15341,14658,31629,-101607
"80,001-120,000",40000,-8897.837125,4325.5,25338.252175,22990,17010,42222,-140432
"120,001-200,000",80000,-7929.3461875,8205.5,34056.6104625,48554,31444,64407,-178240
"200,001-500,000",300000,4265.070983333333,24268.0,43754.88253,202207,97791,96693,-178884
