RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-0.153,0.0,9.683,467,462,50,-48
"1,001-10,000",9000,-0.6695555555555556,-2.0,43.513777777777776,4304,4621,327,-319
"10,001-50,000",40000,-5.048575,15.0,330.611275,20644,19301,1292,-1284
"50,001-80,000",30000,-6.096,125.0,641.3355333333334,16900,13091,2142,-1317
"80,001-120,000",40000,-5.055575,129.0,849.920225,21782,18204,2507,-1745
"120,001-200,000",80000,-7.06305,97.0,1183.8394,41798,38175,3729,-2005
"200,001-500,000",300000,3.8608966666666666,0.0,428.4802633333333,61774,149931,5589,-1917
