RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-2.086,0.5,33.078,500,480,154,-166
"1,001-10,000",9000,-13.081666666666667,-13.0,161.58144444444446,4214,4765,1126,-1407
"10,001-50,000",40000,-59.391075,123.0,1401.764425,21202,18790,4646,-3420
"50,001-80,000",30000,-53.1154,303.0,2223.511266666667,16021,13975,6586,-3276
"80,001-120,000",40000,-34.397375,-100.5,2752.178925,19672,20326,7715,-3615
"120,001-200,000",80000,34.6682375,-1709.5,2869.3786625,33734,46266,10713,-3597
"200,001-500,000",300000,8.971206666666667,0.0,140.98405333333332,13613,71875,10707,-1707
