RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-1.526,0.0,28.012,482,491,124,-134
"1,001-10,000",9000,-6.032,-7.0,125.10955555555556,4282,4692,851,-899
"10,001-50,000",40000,-33.447825,2.0,862.355425,20019,19963,3512,-3571
"50,001-80,000",30000,-68.58863333333333,286.0,1758.8797666666667,16724,13271,5696,-4028
"80,001-120,000",40000,-45.0116,394.0,2421.55385,22057,17938,6954,-5598
"120,001-200,000",80000,-77.047975,373.0,3413.591975,42705,37289,10395,-6921
"200,001-500,000",300000,38.05229333333333,-7.0,1876.2259266666667,88047,200564,29761,-6729
