RankBand,Customers,MeanShift,MedianShift,AbsShift,Promoted,Demoted,LargestPromotion,LargestDemotion
"1-1,000",1000,-0.721,0.0,19.351,490,479,88,-93
"1,001-10,000",9000,-3.0316666666666667,-5.0,86.94477777777777,4316,4655,634,-659
"10,001-50,000",40000,-18.970675,24.0,655.422175,20529,19447,2540,-2450
"50,001-80,000",30000,-27.0574,242.5,1270.7122,16837,13159,4153,-2555
"80,001-120,000",40000,-21.079825,258.0,1695.044075,21783,18209,4908,-3425
"120,001-200,000",80000,-27.8287875,194.0,2337.9915125,41820,38165,7323,-3901
"200,001-500,000",300000,15.56017,-1.0,840.7008033333333,61967,159199,10793,-3710
